Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-November-2024,451.90,454.80,442.85,444.80,447.717683260562713733,972004,16612,435183379.00,419912,43.20,11.95,-7.10
6-November-2024,437.55,451.95,436.65,449.30,442.987751074668420811,653690,10172,289576663.00,234493,35.87,15.30,11.75
5-November-2024,429.00,434.95,426.00,433.95,431.044566270534204058,365366,6424,157489029.00,75574,20.68,8.95,4.95
4-November-2024,446.70,446.70,426.20,429.00,431.026793433572960153,756454,13356,326051942.00,212071,28.03,20.50,-17.70
1-November-2024,446.35,448.50,442.00,445.20,445.887905737502866929,466527,18877,208018747.00,236231,50.64,6.50,-1.15
31-October-2024,430.05,444.60,421.00,440.05,436.464663745939076664,2029403,32192,885762698.00,428638,21.12,23.60,10.00
30-October-2024,427.70,433.45,421.60,427.15,428.086984215728362768,500815,8150,214392383.00,123164,24.59,11.85,-0.55
29-October-2024,428.40,428.40,415.25,425.35,421.233828741743193169,893808,20579,376502166.00,240216,26.88,13.15,-3.05
28-October-2024,422.50,429.50,415.00,425.80,423.035884566573835795,907744,21264,384008286.00,297693,32.79,14.50,3.30
25-October-2024,438.50,438.50,414.85,422.40,422.072108817955822252,744583,13035,314267717.00,221707,29.78,23.65,-16.10
24-October-2024,437.75,440.95,432.20,437.80,436.574327892462794047,333280,5755,145501492.00,95382,28.62,8.75,0.05
23-October-2024,436.05,442.90,430.30,437.45,438.981649378696564931,1194183,20818,524224423.00,545585,45.69,12.60,1.40
22-October-2024,453.75,454.00,434.05,436.00,443.766561287023901255,416589,9225,184868268.00,118494,28.44,19.95,-17.75
21-October-2024,454.65,465.55,449.55,453.75,458.075637072966374068,763845,8762,349898785.00,332102,43.48,16.00,-0.90
18-October-2024,450.05,456.30,443.00,453.50,452.686891341556985185,965751,10479,437182818.00,611988,63.37,13.30,3.45
17-October-2024,461.60,462.70,449.20,450.05,452.521083949747563696,1064625,19728,481765259.00,758973,71.29,13.50,-11.55
16-October-2024,463.00,469.25,457.35,460.35,461.568253961742048567,975013,17017,450035048.00,558073,57.24,11.90,-2.65
15-October-2024,463.00,474.30,461.00,463.50,465.163007385712576200,1161567,23417,540317999.00,637800,54.91,13.30,0.50
14-October-2024,464.70,464.70,458.50,462.35,460.874060801861685667,646296,7072,297861062.00,407679,63.08,6.20,-2.35
11-October-2024,465.90,467.10,459.20,461.00,462.139427526141444893,462484,7653,213732091.00,195536,42.28,7.90,-4.90
10-October-2024,457.05,477.80,455.90,465.50,468.571935748921746624,1817059,43113,851422853.00,946634,52.10,21.90,8.45
9-October-2024,460.00,470.30,452.65,460.90,462.979478663103739446,676223,10593,313077372.00,167029,24.70,17.65,0.90
8-October-2024,441.10,460.80,439.65,456.40,454.541937489709629780,1196507,19195,543862610.00,549984,45.97,21.15,15.30
7-October-2024,467.10,469.00,438.90,441.05,447.749988921138427224,2459639,65245,1101303335.00,1131301,45.99,30.10,-26.05
4-October-2024,471.15,474.40,460.60,466.70,468.311490608655677246,778749,10839,364697105.00,247714,31.81,13.80,-4.45
3-October-2024,469.95,477.95,464.50,471.70,471.288242866085253987,849884,14932,400540337.00,280614,33.02,13.45,1.75
1-October-2024,487.75,491.25,479.95,481.00,485.003627384256867265,1403215,27426,680564365.00,549001,39.12,11.30,-6.75
30-September-2024,486.00,489.00,473.65,482.70,481.915551009837954543,687338,12655,331238871.00,179787,26.16,15.35,-3.30
27-September-2024,481.75,494.85,477.50,485.10,485.575105648496805792,1646261,21038,799383359.00,531978,32.31,17.35,3.35
26-September-2024,468.30,477.65,465.60,475.90,473.424758614580565151,790230,14149,374114447.00,196203,24.83,12.05,7.60
25-September-2024,469.20,470.85,460.25,468.10,465.556409160067967526,720344,10274,335360766.00,175609,24.38,10.60,-1.10
24-September-2024,455.85,474.15,453.40,467.70,466.483605446608899602,2302350,38253,1074008529.00,737871,32.05,20.75,11.85
23-September-2024,444.45,460.00,444.45,454.35,455.028211110256697763,2951993,60154,1343240094.00,1959831,66.39,15.55,9.90
20-September-2024,441.35,446.45,439.35,444.20,444.098845930972483225,923255,14623,410016480.00,631877,68.44,7.10,2.85
19-September-2024,442.50,450.50,430.80,439.30,440.643995096904643312,1080134,24307,475954561.00,475254,44.00,19.70,-3.20
18-September-2024,445.50,447.00,438.00,440.65,442.555931292216181532,345987,7379,153118599.00,112909,32.63,9.00,-4.85
17-September-2024,443.80,450.85,439.65,445.05,445.123291964815642234,599812,14246,266990292.00,356800,59.49,11.20,1.25
16-September-2024,443.20,451.60,440.25,443.30,445.393785942301572818,1090463,22567,485685444.00,651949,59.79,11.35,0.10
13-September-2024,446.55,449.50,441.00,441.85,445.019999823603602014,1133810,11630,504568126.00,695912,61.38,8.50,-4.70
12-September-2024,438.05,443.00,436.00,439.80,438.965995874684731799,992409,20592,435633805.00,569974,57.43,7.00,1.75
11-September-2024,446.00,448.90,433.00,435.80,441.061279380794741869,1079319,16339,476045819.00,513324,47.56,15.90,-10.20
10-September-2024,422.00,446.95,420.00,445.20,436.973264683438448607,4100419,79392,1791773477.00,2339222,57.05,26.95,23.20
9-September-2024,416.95,418.95,411.15,417.85,414.611149074543162458,339508,8544,140763802.00,91000,26.80,7.80,0.90
6-September-2024,420.55,421.25,414.65,416.95,419.466670059752236891,982390,7733,412079862.00,758552,77.21,6.60,-3.60
5-September-2024,421.95,424.00,419.30,420.45,421.614103088812384139,789203,9585,332739115.00,586861,74.36,4.70,-1.50
4-September-2024,429.25,429.60,419.95,420.65,423.166150689774257555,489363,9769,207081857.00,249015,50.89,9.65,-8.60
3-September-2024,434.75,434.75,431.35,433.80,433.598561632554892985,382517,10380,165858821.00,291826,76.29,3.40,-0.95
2-September-2024,435.35,436.60,429.50,433.05,433.439171040042913128,499614,8432,216552278.00,307635,61.57,7.10,-2.30
30-August-2024,432.00,436.00,431.55,434.55,434.223985217834459700,1022313,25801,443912825.00,687257,67.23,4.45,2.55
29-August-2024,430.40,433.00,424.75,430.95,430.348016839386546878,467713,7030,201279362.00,225917,48.30,8.25,0.55
28-August-2024,430.00,434.10,428.60,431.25,430.977155987107960438,1491463,8727,642786482.00,1161051,77.85,5.50,1.25
27-August-2024,422.45,429.60,421.10,428.00,425.099321801960067794,1179449,7296,501382970.00,876276,74.30,8.50,5.55
26-August-2024,420.10,423.45,417.00,422.45,419.522224529655926585,760826,18364,319183416.00,398843,52.42,6.45,2.35
23-August-2024,423.00,423.00,417.40,418.00,419.501885193259614922,228889,5878,96019367.00,102886,44.95,5.60,-5.00
22-August-2024,426.00,426.05,421.90,422.85,423.515824083434256488,199822,5090,84627779.00,80064,40.07,4.15,-3.15
21-August-2024,427.00,427.00,421.75,424.30,424.645319226063709275,441380,7337,187429951.00,151293,34.28,5.25,-2.70
20-August-2024,418.00,423.90,416.70,422.20,419.954091983521307489,370175,6448,155456506.00,118315,31.96,7.20,4.20
19-August-2024,417.00,421.00,415.15,418.80,418.131138809509333009,411175,7411,171925071.00,139005,33.81,5.85,1.80
16-August-2024,408.40,414.25,406.75,413.50,410.618951976914155380,980341,22662,402546594.00,466582,47.59,7.50,5.10
14-August-2024,410.00,412.90,403.10,405.55,407.301892322047611454,1354632,31151,551744177.00,445761,32.91,9.80,-4.45
13-August-2024,420.50,420.50,406.50,408.30,412.255966946735795031,1383706,45942,570441055.00,733022,52.98,14.00,-12.20
12-August-2024,416.80,422.80,411.15,418.15,416.873204699247968350,1237049,31545,515692581.00,525200,42.46,11.65,1.35
9-August-2024,425.30,425.30,416.30,417.80,419.881945726020695012,1165015,29206,489168765.00,538136,46.19,9.00,-7.50
8-August-2024,432.90,432.90,417.10,418.00,421.923427127304026151,1092110,21773,460786794.00,451049,41.30,15.80,-14.90
7-August-2024,444.00,445.00,426.15,430.25,431.629334245214793154,2418443,50992,1043870942.00,899459,37.19,18.85,-13.75
6-August-2024,436.15,449.10,433.50,436.80,442.300034621189288271,892517,14298,394760300.00,255193,28.59,15.60,0.65
5-August-2024,445.00,452.60,430.30,434.70,439.826755954089701499,1724319,31159,758401632.00,563673,32.69,22.30,-10.30
2-August-2024,460.80,470.85,452.55,460.30,463.039035630838058466,1334883,22179,618102937.00,288567,21.62,18.30,-0.50
1-August-2024,454.55,466.00,454.00,464.35,460.498805634832398297,3469207,67573,1597565680.00,2020811,58.25,12.00,9.80
31-July-2024,445.75,454.95,445.50,453.65,451.330916757159538554,1100455,16484,496669364.00,557735,50.68,9.45,7.90
30-July-2024,442.00,449.00,440.35,444.05,445.594690698193859467,1562503,30587,696243041.00,996185,63.76,8.65,2.05
29-July-2024,447.95,450.20,440.95,442.25,444.741790304653880133,877225,15089,390138617.00,357265,40.73,9.25,-5.70
26-July-2024,431.25,446.20,430.00,444.65,440.450020210140040374,1761492,24937,775849187.00,624450,35.45,16.20,13.40
25-July-2024,415.40,425.55,413.00,422.40,420.924383422505793825,559216,10412,235387650.00,260221,46.53,12.55,7.00
24-July-2024,416.90,424.95,415.55,419.75,419.350469418351742141,799074,10436,335092057.00,418082,52.32,9.40,2.85
23-July-2024,429.55,429.55,400.00,416.35,415.865646060189582318,2246834,56230,934381073.00,847619,37.72,29.55,-13.20
